State,Burnt_Prop,,,,,,,
Australian Capital Territory,58,,,,,,,
New South Wales,25,,,,,,,
Northern Territory,0,,,,,,,
Queensland,1,,,,,,,
South Australia,2.7,,,,,,,
Tasmania,0.8,,,,,,,
Victoria,18,,,,,,,
Western Australia,5.5,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
