"State","Total_Forest","Total_Burnt","Burnt_Proportion","Normalized_Total_Forest","Normalized_Total_Burnt","Normalized_Burnt_Proportion"
"Australian Capital Territory",142,83,58,1,1.01040644021206,2
"New South Wales",20368,5123,25,1.39130939483052,2,1.42307692307692
"Queensland",51830,514,1,2,1.09503239740821,1.0034965034965
"South Australia",5060,137,2.7,1.09514780993654,1.02100922835264,1.03321678321678
"Tasmania",3699,30,0.8,1.06881674663365,1,1
"Victoria",8222,1457,18,1.15632255068875,1.28018849401139,1.3006993006993
"Western Australia",20981,1144,5.5,1.40316901408451,1.2187315923817,1.08216783216783
